season,player_name,position,adp_overall,source_name
2024,Chris Olave,WR,25.5,fantasypros
2024,Deebo Samuel Sr.,WR,26.5,fantasypros
2024,Nico Collins,WR,29.0,fantasypros
2024,Jalen Hurts,QB,30.5,fantasypros
2024,Travis Kelce,TE,30.5,fantasypros
2024,Sam LaPorta,TE,31.0,fantasypros
2024,Patrick Mahomes II,QB,33.0,fantasypros
2024,James Cook III,RB,33.5,fantasypros
2024,Rachaad White,RB,34.0,fantasypros
2024,Brandon Aiyuk SF (9) O,WR,34.5,fantasypros
2024,Cooper Kupp,WR,36.0,fantasypros
2024,Michael Pittman Jr.,WR,36.0,fantasypros
2024,Mike Evans,WR,37.5,fantasypros
2024,Lamar Jackson,QB,38.0,fantasypros
2024,DJ Moore,WR,38.5,fantasypros
2024,Jaylen Waddle,WR,38.5,fantasypros
2024,Stefon Diggs O,WR,39.0,fantasypros
2024,DK Metcalf,WR,39.5,fantasypros
2024,Kenneth Walker III,RB,40.0,fantasypros
2024,Joe Mixon,RB,42.0,fantasypros
2024,Alvin Kamara,RB,43.5,fantasypros
2024,Malik Nabers,WR,44.5,fantasypros
2024,DeVonta Smith,WR,46.0,fantasypros
2024,Trey McBride,TE,48.5,fantasypros
2024,Dalton Kincaid,TE,49.5,fantasypros
2024,Mark Andrews,TE,49.5,fantasypros
2024,C.J. Stroud,QB,50.5,fantasypros
2024,Anthony Richardson Sr.,QB,53.0,fantasypros
2024,Aaron Jones Sr.,RB,56.0,fantasypros
2024,Amari Cooper,WR,57.0,fantasypros
2024,D'Andre Swift,RB,57.5,fantasypros
2024,James Conner,RB,58.0,fantasypros
2024,George Pickens,WR,59.0,fantasypros
2024,Rhamondre Stevenson,RB,60.0,fantasypros
2024,Tee Higgins,WR,60.5,fantasypros
2024,Zay Flowers,WR,62.0,fantasypros
2024,George Kittle,TE,64.5,fantasypros
2024,Tank Dell HOU (14) O,WR,64.5,fantasypros
2024,Terry McLaurin,WR,64.5,fantasypros
2024,David Montgomery,RB,65.0,fantasypros
2024,Kyle Pitts Sr.,TE,65.0,fantasypros
2024,Kyler Murray,QB,66.0,fantasypros
2024,Rashee Rice KC (6) O,WR,66.5,fantasypros
2024,Zamir White LV (10) O,RB,66.5,fantasypros
2024,Najee Harris,RB,67.0,fantasypros
2024,Christian Kirk SF (9) O,WR,67.5,fantasypros
2024,Joe Burrow,QB,68.0,fantasypros
2024,Evan Engram DEN (14) O,TE,70.5,fantasypros
2024,Keenan Allen,WR,73.0,fantasypros
2024,Jordan Love,QB,74.0,fantasypros
2024,Chris Godwin Jr. TB (11) O,WR,76.0,fantasypros
2024,Raheem Mostert,RB,76.5,fantasypros
2024,Dak Prescott DAL (7) O,QB,77.0,fantasypros
2024,Javonte Williams,RB,77.0,fantasypros
2024,Tony Pollard,RB,79.0,fantasypros
2024,Calvin Ridley,WR,79.5,fantasypros
2024,Jayden Reed,WR,82.0,fantasypros
2024,Xavier Worthy,WR,83.5,fantasypros
2024,Jake Ferguson,TE,85.5,fantasypros
2024,Devin Singletary,RB,86.0,fantasypros
2024,Zack Moss O,RB,87.0,fantasypros
2024,Diontae Johnson,WR,88.0,fantasypros
2024,Jaylen Warren,RB,88.5,fantasypros
2024,David Njoku,TE,90.5,fantasypros
2024,Rome Odunze,WR,91.0,fantasypros
2024,Brock Bowers,TE,91.5,fantasypros
2024,Brian Robinson Jr.,RB,93.0,fantasypros
2024,Jonathon Brooks CAR (11) O,RB,93.0,fantasypros
2024,Austin Ekeler,RB,93.5,fantasypros
2024,Nick Chubb O,RB,94.0,fantasypros
2024,Jaxon Smith-Njigba,WR,97.5,fantasypros
2024,Caleb Williams,QB,98.0,fantasypros
2024,Brock Purdy,QB,99.0,fantasypros
2024,Christian Watson,WR,99.0,fantasypros
2024,Ladd McConkey,WR,99.5,fantasypros
2024,DeAndre Hopkins,WR,100.0,fantasypros
2024,Jayden Daniels,QB,100.5,fantasypros
2024,Jordan Addison,WR,100.5,fantasypros
2024,Jerome Ford,RB,101.5,fantasypros
2024,Tyjae Spears,RB,101.5,fantasypros
2024,Chase Brown,RB,102.5,fantasypros
2024,Hollywood Brown,WR,105.5,fantasypros
2024,Tua Tagovailoa,QB,106.0,fantasypros
2024,Keon Coleman,WR,106.5,fantasypros
2024,Jameson Williams,WR,107.0,fantasypros
2024,Brian Thomas Jr.,WR,109.0,fantasypros
2024,Courtland Sutton,WR,109.0,fantasypros
2024,Jared Goff,QB,109.0,fantasypros
2024,Ezekiel Elliott,RB,109.5,fantasypros
2024,Gus Edwards,RB,110.0,fantasypros
2024,Trey Benson,RB,110.5,fantasypros
2024,Blake Corum,RB,111.0,fantasypros
2024,Dallas Goedert,TE,115.0,fantasypros
2024,Chuba Hubbard,RB,119.0,fantasypros
2024,Romeo Doubs,WR,121.0,fantasypros
2024,J.K. Dobbins,RB,122.5,fantasypros
2024,Curtis Samuel,WR,123.5,fantasypros
2024,Trevor Lawrence JAC (12) O,QB,123.5,fantasypros
2024,Khalil Shakir,WR,124.0,fantasypros
2024,T.J. Hockenson,TE,125.0,fantasypros
2024,Justin Herbert LAC (5) Q,QB,126.0,fantasypros
2024,Dalton Schultz,TE,127.5,fantasypros
2024,Zach Charbonnet,RB,128.0,fantasypros
2024,Rico Dowdle,RB,128.5,fantasypros
2024,Pat Freiermuth,TE,129.0,fantasypros
2024,Joshua Palmer,WR,131.0,fantasypros
2024,Brandon Aubrey,K,133.5,fantasypros
2024,Cole Kmet,TE,134.5,fantasypros
2024,Ty Chandler,RB,135.5,fantasypros
2024,Tyler Lockett,WR,137.0,fantasypros
2024,Jakobi Meyers,WR,137.5,fantasypros
2024,Justin Tucker,K,137.5,fantasypros
2024,Kirk Cousins,QB,137.5,fantasypros
2024,Jerry Jeudy,WR,138.5,fantasypros
2024,Aaron Rodgers,QB,139.0,fantasypros
2024,Jaylen Wright,RB,140.0,fantasypros
2024,Mike Williams,WR,144.0,fantasypros
2024,Tyler Allgeier,RB,144.0,fantasypros
2024,Harrison Butker,K,145.0,fantasypros
2024,Jaleel McLaughlin,RB,147.0,fantasypros
2024,Adonai Mitchell,WR,147.5,fantasypros
2024,Matthew Stafford,QB,150.0,fantasypros
2024,Gabe Davis O,WR,151.5,fantasypros
2024,Taysom Hill O,TE,154.0,fantasypros
2024,MarShawn Lloyd,RB,155.0,fantasypros
2024,Antonio Gibson,RB,155.5,fantasypros
2024,Rashid Shaheed SEA (10) O,WR,156.5,fantasypros
2024,Brandin Cooks,WR,157.5,fantasypros
2024,Dontayvion Wicks,WR,158.0,fantasypros
2024,New York Jets,DST,158.0,fantasypros
2024,San Francisco 49ers,DST,158.5,fantasypros
2024,Luke Musgrave,TE,161.0,fantasypros
2024,Baker Mayfield,QB,163.0,fantasypros
2024,Ray Davis,RB,163.0,fantasypros
2024,Ka'imi Fairbairn,K,163.5,fantasypros
2024,Adam Thielen,WR,164.0,fantasypros
2024,Xavier Legette,WR,164.5,fantasypros
2024,Kimani Vidal,RB,167.0,fantasypros
2024,Dallas Cowboys,DST,168.0,fantasypros
2024,Baltimore Ravens,DST,169.0,fantasypros
2024,Bucky Irving,RB,169.0,fantasypros
2024,Ja'Lynn Polk,WR,169.0,fantasypros
2024,Jake Elliott,K,169.0,fantasypros
2024,Braelon Allen,RB,170.0,fantasypros
2024,Darnell Mooney,WR,171.0,fantasypros
2024,Deshaun Watson CLE (10) O,QB,171.5,fantasypros
2024,Younghoe Koo,K,171.5,fantasypros
2024,Jake Moody,K,175.0,fantasypros
2024,Michael Wilson,WR,175.5,fantasypros
2024,Josh Downs,WR,177.0,fantasypros
2024,Tyrone Tracy Jr.,RB,179.0,fantasypros
2024,Will Levis,QB,179.0,fantasypros
2024,Khalil Herbert,RB,179.5,fantasypros
2024,Evan McPherson,K,181.0,fantasypros
2024,Geno Smith,QB,182.0,fantasypros
2024,Isaiah Likely,TE,186.5,fantasypros
2024,Tyler Conklin,TE,187.0,fantasypros
2024,Cleveland Browns,DST,188.0,fantasypros
2024,Hunter Henry,TE,188.0,fantasypros
2024,Cameron Dicker,K,189.5,fantasypros
2024,Dyami Brown,WR,190.0,fantasypros
2024,Jason Sanders,K,190.5,fantasypros
2024,Pittsburgh Steelers,DST,191.5,fantasypros
2024,Quentin Johnston,WR,192.0,fantasypros
2024,Jordan Mason,RB,193.0,fantasypros
2024,Jahan Dotson,WR,195.5,fantasypros
2024,Jacoby Brissett,QB,196.0,fantasypros
2024,Tyler Bass,K,196.0,fantasypros
2024,DeMario Douglas,WR,196.5,fantasypros
2024,Bo Nix,QB,197.0,fantasypros
2024,Bryce Young,QB,198.0,fantasypros
2024,Cade Otton,TE,199.5,fantasypros
2024,Chig Okonkwo,TE,200.5,fantasypros
2024,Dalvin Cook,RB,201.0,fantasypros
